,0,1,2,3
327,19,16,1,17
328,4,07,29,14
329,29,09,19,13
330,15,13,11,17
331,29,09,16,15
332,11,13,16,19
333,9,05,15,08
334,4,00,19,08
335,8,09,19,13
336,1,08,9,08
337,3,12,1,13
338,2,11,8,13
339,9,08,3,09
340,9,15,10,17
341,2,13,10,20
342,9,13,15,15
343,8,09,29,10
344,4,08,24,10
345,3,18,29,18
346,17,12,19,14
347,29,10,19,11
348,9,11,2,12
349,23,21,4,21
350,24,17,4,17
351,15,08,10,12
352,19,05,8,16
353,9,16,19,19
354,8,10,1,10
355,19,17,16,08
356,19,01,15,09
357,15,08,19,10
358,29,10,2,11
359,9,12,2,14
360,10,11,19,14
361,22,18,15,19
362,17,15,11,17
363,18,07,9,11
364,23,09,19,10
365,23,07,16,13
366,3,10,28,11
367,4,12,3,15
368,9,09,18,11
369,29,04,28,07
370,29,07,1,08
371,7,09,9,10
372,9,12,8,17
373,29,07,19,18
374,4,07,15,16
375,1,13,9,13
376,11,06,8,13
377,3,21,9,21
378,9,12,19,13
379,19,09,9,13
380,11,16,16,18
381,13,10,2,12
382,1,21,18,21
383,8,21,1,21
384,8,06,29,12
385,10,10,8,15
386,18,10,10,14
387,1,10,9,13
388,1,08,24,11
389,19,15,29,16
390,1,07,18,10
391,18,18,19,18
392,29,20,9,20
393,9,10,1,10
394,1,07,19,10
395,11,11,18,15
396,1,18,19,23
397,11,09,17,15
398,1,12,2,15
399,9,07,16,13
400,1,11,15,13
401,9,09,8,10
402,10,04,1,10
403,24,08,12,17
404,3,09,9,12
405,13,02,1,04
406,9,02,23,10
407,9,10,29,10
408,2,13,4,13
409,1,11,16,14
410,3,11,16,15
411,1,09,24,15
412,9,13,16,13
413,8,10,21,13
414,8,07,29,08
415,29,12,15,12
416,29,11,3,12
417,3,12,8,16
418,2,12,23,13
419,11,09,23,09
420,8,13,17,14
421,18,06,9,12
422,29,08,8,12
423,3,09,15,09
424,14,09,1,17
425,18,10,13,10
426,11,14,2,16
427,1,11,9,11
428,16,05,18,05
429,20,18,19,07
430,24,01,8,04
431,13,17,19,20
432,29,05,10,07
433,29,09,4,14
434,9,11,15,15
435,3,11,15,13
436,17,07,4,11
437,9,08,8,09
438,1,05,2,07
439,29,11,15,14
440,3,06,18,12
441,9,11,19,15
442,1,11,9,15
443,22,08,23,16
444,15,07,18,11
445,1,09,7,15
446,19,14,15,17
447,19,08,15,17
448,16,09,10,16
449,9,19,18,19
450,9,15,18,16
451,17,15,1,16
452,13,11,3,12
453,17,15,15,16
454,9,15,16,16
455,9,11,28,13
456,13,11,3,12
457,17,15,8,15
458,9,14,12,15
459,8,16,22,17
460,17,15,29,15
461,28,12,14,14
462,9,15,15,16
463,17,15,15,16
464,16,11,15,14
465,29,13,12,14
466,17,14,12,15
467,28,15,15,16
468,29,14,16,15
469,8,15,16,16
470,15,12,28,13
471,9,12,14,14
472,9,13,22,14
473,28,13,22,17
474,17,15,14,15
475,17,11,3,13
476,19,14,15,14
477,9,15,14,16
478,8,14,18,15
479,17,15,16,16
480,15,14,8,14
481,23,13,22,15
482,9,15,1,15
483,9,11,18,13
484,8,16,4,19
485,8,22,3,00
486,18,16,29,17
487,1,04,9,08
488,29,18,3,01
489,8,09,19,16
490,19,12,29,16
491,9,09,19,14
492,9,13,14,16
493,19,01,18,06
494,3,16,17,18
495,12,11,13,16
496,24,10,3,14
497,3,09,9,13
498,9,17,12,19
499,8,21,11,21
500,2,09,19,10
501,19,21,29,21
502,1,09,2,09
503,15,14,29,14
504,12,08,19,12
505,29,17,8,17
506,2,15,9,16
507,9,08,18,18
508,17,10,7,13
509,8,13,17,17
510,29,10,19,14
511,3,11,11,21
512,9,16,18,17
513,8,13,15,13
514,8,08,9,12
515,16,08,1,11
516,10,13,23,14
517,19,11,23,13
518,1,02,23,06
519,1,09,18,14
520,9,08,29,11
521,23,08,2,11
522,1,11,7,15
523,12,08,18,08
524,1,09,9,10
525,29,08,15,21
526,19,05,1,09
527,9,08,15,11
528,10,16,11,16
529,23,11,11,12
530,8,08,1,10
531,1,12,12,15
532,23,07,4,12
533,1,15,29,16
534,29,17,16,17
535,8,17,29,17
536,10,09,3,16
537,18,17,19,00
538,7,08,15,12
539,9,13,10,14
540,28,06,23,10
541,10,06,18,13
542,10,07,9,07
543,29,05,9,12
544,17,04,10,10
545,18,09,3,15
546,29,10,18,19
547,10,10,13,15
548,29,09,3,12
549,7,09,19,16
550,1,00,18,11
551,17,00,4,07
552,9,10,15,13
553,28,12,9,22
554,15,09,1,11
555,19,17,11,17
556,29,09,13,18
557,12,11,17,18
558,28,17,10,18
559,29,07,19,16
560,1,15,15,22
561,18,11,19,16
562,15,04,9,11
563,24,07,23,08
564,1,03,11,10
565,15,09,9,10
566,13,11,29,12
567,29,11,9,12
568,9,12,14,16
569,15,14,12,16
570,9,11,15,12
571,9,11,15,13
572,18,17,3,19
573,3,12,18,14
574,4,12,18,13
575,24,10,15,11
576,15,11,9,16
577,3,11,11,22
578,11,09,10,18
579,9,10,3,12
580,29,15,3,16
581,9,07,10,12
582,19,13,15,15
583,29,10,19,14
584,4,09,8,16
585,18,10,16,12
586,29,07,1,09
587,12,09,9,10
588,3,11,15,15
589,6,19,29,19
590,15,08,1,11
591,24,05,8,01
592,19,09,28,10
593,8,06,12,06
594,8,12,9,13
595,29,15,9,15
596,4,12,8,15
597,15,16,19,16
598,19,11,15,14
599,24,07,2,10
600,3,13,10,15
601,1,17,15,18
602,9,09,19,12
603,1,11,19,14
604,29,12,9,13
605,18,09,9,18
606,15,08,29,09
607,1,07,19,16
608,8,07,19,12
609,19,09,15,09
610,15,09,17,15
611,15,09,29,09
612,18,10,8,11
613,12,15,4,15
614,18,08,22,11
615,19,06,16,08
616,11,03,17,06
617,8,05,3,08
618,15,14,29,15
619,10,06,17,10
620,23,16,1,16
621,1,08,3,11
622,29,11,17,16
623,4,11,10,12
624,17,10,28,14
625,8,07,4,15
626,1,07,8,09
627,19,11,9,13
628,9,11,20,15
629,9,16,10,18
630,29,08,16,08
631,4,11,24,11
632,15,10,4,11
633,8,08,1,11
