,0,1,2,3
135,35,06,71,12
136,84,07,81,14
137,40,03,50,08
138,9,17,46,23
139,71,09,25,19
140,35,16,50,16
141,35,13,8,14
142,14,19,40,20
143,35,04,40,05
144,40,19,14,20
145,70,08,13,08
146,53,08,45,16
147,21,07,27,19
148,81,14,25,15
149,78,23,81,06
150,41,20,84,21
151,35,08,50,11
152,31,12,50,19
153,71,03,45,07
154,5,08,27,18
155,41,15,21,17
156,51,14,43,21
157,2,11,35,18
158,32,11,9,14
159,32,03,70,06
160,78,14,72,14
161,71,10,45,16
162,84,12,32,16
163,32,07,71,13
164,23,09,26,13
165,32,10,36,17
166,85,09,35,15
167,26,09,71,18
168,9,12,71,14
169,31,16,44,17
170,85,12,63,17
171,44,01,81,05
172,84,15,15,16
173,81,13,26,20
174,45,06,25,13
175,81,09,62,10
176,68,08,21,18
177,23,06,32,08
178,71,13,26,15
179,71,09,74,10
180,44,09,35,11
181,82,08,72,14
182,19,12,68,14
183,9,06,85,09
184,41,11,40,12
185,26,09,81,11
186,21,05,22,12
187,22,06,49,13
188,71,16,17,17
189,81,17,68,18
190,2,12,71,12
191,41,08,2,17
192,23,08,61,09
193,29,16,44,17
194,71,09,42,11
195,82,05,50,14
196,9,12,50,17
197,49,09,68,13
198,37,08,22,14
199,40,03,9,08
200,48,09,53,11
201,41,07,82,11
202,45,21,82,05
203,35,19,41,22
204,70,07,71,08
205,44,16,82,20
206,31,08,32,09
207,42,08,70,09
208,85,16,15,16
209,41,12,45,15
210,71,11,15,12
211,85,12,25,14
212,81,13,68,16
213,71,06,8,12
214,1,08,40,13
215,71,16,25,18
216,48,10,67,12
217,82,09,2,14
218,19,08,22,15
219,0,11,81,13
220,82,13,25,16
221,71,09,50,10
222,81,16,9,17
223,38,11,35,13
224,32,14,84,04
225,84,11,22,15
226,39,08,41,11
227,37,15,52,16
228,14,11,26,20
229,16,10,18,14
230,35,01,81,02
231,25,01,68,03
232,14,11,2,13
233,15,07,71,08
234,55,07,56,10
235,51,09,73,11
236,70,15,13,15
237,15,15,85,16
238,40,17,51,19
239,44,16,81,18
240,50,13,75,13
241,21,09,76,14
242,82,12,41,16
243,11,22,9,23
244,71,10,52,11
245,41,09,67,11
246,23,11,18,11
247,57,16,82,16
248,21,12,73,20
249,47,10,73,18
250,39,12,41,12
251,9,23,44,04
252,45,00,9,05
253,71,20,82,11
254,40,20,57,22
255,5,14,35,16
256,35,11,26,15
257,9,09,71,15
258,82,13,17,15
259,69,13,2,14
260,71,04,82,07
261,81,09,78,11
262,82,09,70,10
263,0,10,71,11
264,37,09,82,10
265,9,12,71,13
266,22,11,50,14
267,71,12,70,13
268,9,08,18,11
269,50,06,49,11
270,19,07,32,09
271,32,07,68,09
272,2,09,47,11
273,23,15,9,19
274,81,06,40,09
275,81,09,35,16
276,22,04,49,11
277,35,13,17,13
278,24,02,4,02
279,45,01,35,02
280,17,02,85,03
281,50,11,33,13
282,31,13,50,13
283,44,11,71,15
284,18,07,13,23
285,73,07,32,09
286,45,18,71,18
287,35,06,41,12
288,2,06,49,11
289,81,06,72,09
290,39,08,50,11
291,81,17,45,02
292,25,17,71,20
293,32,09,23,09
294,71,10,37,13
295,23,11,74,20
296,32,16,28,18
297,31,09,11,18
298,9,12,13,12
299,75,17,36,20
300,71,09,50,13
301,71,18,45,03
302,71,14,40,20
303,17,08,82,21
304,71,08,19,11
305,81,16,44,19
306,63,05,56,14
307,84,11,71,17
308,40,10,2,15
309,9,10,41,10
310,75,09,82,11
311,31,08,71,09
312,0,21,22,21
313,9,20,81,21
314,71,12,35,13
315,32,08,35,12
316,14,05,15,10
317,14,13,82,16
318,50,12,51,13
319,85,10,44,12
320,84,15,17,17
321,56,08,55,12
322,9,08,75,09
323,35,16,41,20
324,31,10,16,15
325,70,13,4,18
326,82,00,71,00
327,31,07,36,12
328,3,22,48,01
329,7,07,50,07
330,27,08,32,13
331,40,07,51,10
332,18,21,4,00
333,4,20,18,23
334,19,18,32,20
335,71,15,81,18
336,23,15,3,16
337,84,13,50,13
338,82,18,13,18
339,45,15,50,16
340,81,03,45,03
341,50,17,44,18
342,82,13,71,13
343,53,16,40,19
344,35,11,9,13
345,71,07,81,09
346,8,06,70,07
347,71,09,50,18
348,41,08,50,13
349,68,09,44,10
350,41,09,8,12
351,45,07,50,13
352,25,09,14,21
353,71,07,82,10
354,71,05,81,05
355,28,23,50,05
356,33,03,32,05
357,31,22,46,07
358,81,13,49,14
359,10,10,26,15
360,32,10,26,11
361,40,11,84,14
362,31,10,9,16
363,31,13,35,19
364,23,09,31,15
365,24,08,36,20
366,48,15,32,20
367,2,16,25,19
368,32,12,4,16
369,37,09,10,14
370,39,08,9,20
371,9,13,81,13
372,1,07,0,16
373,39,09,21,16
374,32,13,11,13
375,32,15,11,16
376,9,07,35,07
377,71,10,16,13
378,17,12,40,13
379,17,10,71,18
380,17,09,11,17
381,18,08,32,11
382,72,08,71,08
383,27,11,8,11
384,82,20,28,01
385,7,12,82,14
386,84,12,25,20
387,73,08,26,14
388,9,11,82,13
389,34,13,25,15
390,36,09,22,11
391,50,18,82,18
392,82,07,42,14
393,32,07,80,14
394,85,02,27,02
395,85,21,84,23
396,0,12,71,14
397,46,10,35,12
398,71,06,45,13
399,1,08,85,08
400,36,07,16,09
401,71,15,82,17
402,50,13,82,13
403,53,17,0,20
404,57,20,82,00
405,13,09,16,12
406,32,15,70,16
407,76,09,9,10
408,19,22,0,23
409,67,01,44,05
410,61,05,21,07
411,16,13,41,14
412,11,09,23,12
413,35,17,41,21
414,48,13,27,21
415,8,12,24,14
416,84,08,2,10
417,50,15,35,17
418,14,08,9,09
419,15,14,38,15
420,69,09,4,15
421,5,11,15,12
422,44,17,81,03
423,32,16,70,17
424,16,14,4,15
425,21,16,62,01
426,50,14,71,15
427,85,10,80,15
428,31,14,38,18
429,50,07,41,12
430,71,14,45,14
431,40,04,35,12
432,13,07,82,13
433,27,13,25,16
434,84,04,50,07
435,39,08,49,20
436,31,06,49,12
437,72,14,24,17
438,19,17,24,18
439,65,06,32,17
440,47,16,85,19
441,32,11,47,15
